Date,Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2000-04-30,Egypt,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,Egypt,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,Egypt,0.0,0.0,0.0,0.0,0.0,,,,,
2003-04-30,Egypt,8.0,5.92,1.38,2.9520295202952,-50.1346364815,,,,,
2004-05-31,Egypt,10.0,6.19,1.62,3.448275862069,-44.29279705866,,,,,
2005-06-30,Egypt,9.0,5.8,1.551724137931,2.9411764705882,-49.290060851927,,,,,
2006-01-31,Egypt,9.25,5.74,1.6114982578397,2.9365079365079,-48.841325147945,,,,,
2006-05-31,Egypt,9.5,5.77075,1.6462331586016,3.0645161290323,-46.89570456124,,,,,
2007-01-31,Egypt,9.09,5.7,1.5947368421053,2.8229813664596,-50.474011114743,,,,,
2007-06-30,Egypt,9.54,5.69025,1.6765519968367,2.7976539589443,-50.834252292179,,,,,
2008-06-30,Egypt,13.0,5.3125,2.4470588235294,3.6414565826331,-31.454934915143,,,,,
2009-07-31,Egypt,13.0,5.58475,2.32776758136,3.6414565826331,-34.796426292438,,,,,
2010-01-31,Egypt,13.0,5.465,2.3787740164684,3.6312849162011,-33.553798422669,,,,,
2010-07-31,Egypt,13.0,5.699,2.2811019477101,3.4821428571429,-38.89905497205,,,,,
2011-07-31,Egypt,14.09,5.962,2.3633009057363,3.4661746617466,-41.86221634105,10.915978901987,-18.62825282518,2.0250162493614,5.1444675857701,7.3489045788116
2012-01-31,Egypt,15.5,6.037,2.567500414113,3.692920552175,-38.828548083899,7.7806097802877,-8.1563303857063,5.4809831963715,4.0236132237835,8.1653567348848
2012-07-31,Egypt,16.0,6.0665,2.6374350943707,3.6972848064702,-39.054070609573,3.8522138307934,-6.4813527145862,-3.2200898262498,5.3025353682222,10.377108384228
2013-01-31,Egypt,16.0,6.68575,2.3931496092435,3.6635103871014,-45.204197179054,-7.4806079198344,-23.259589466121,-13.014279008572,12.450358421432,-3.4543044881009
2013-07-31,Egypt,16.75,7.00915,2.3897334198869,3.6759326993416,-47.55522853211,-11.039886683799,-19.44441822686,-7.8420707548976,23.990008755835,-4.8904233929856
2014-01-31,Egypt,16.93,6.961,2.4321218215774,3.6612002162552,-47.404105498417,-6.4488008940141,-19.70210928516,-15.082615093835,42.022517338157,-7.5614729136957
2014-07-31,Egypt,16.93,7.15005,2.3678156096811,3.5307612095933,-50.619069662543,-15.224727648248,-28.401223653316,-26.489432822215,6.5755459594863,-9.4392827886711
2015-01-31,Egypt,16.93,7.35005,2.3033856912538,3.5344467640919,-51.912616048981,-16.809758681535,-17.922437392037,-19.320951491649,11.199026722731,-12.282387547721
2015-07-31,Egypt,16.93,7.83005,2.1621828723955,3.5344467640919,-54.860482830993,-24.340897118477,-20.845109798333,-25.335803573486,3.9548910250019,-16.566040621388
2016-01-31,Egypt,16.93,7.83005,2.1621828723955,3.4340770791075,-56.142335245528,-22.337631715432,-15.983249011858,-15.990395628872,3.7817783885235,-14.241668425874
2016-07-31,Egypt,23.0,8.87995,2.5901046740128,4.5634920634921,-48.609034245778,-9.7285985202217,-11.205839958497,3.9721706685231,5.9171862936388,-1.2646052104914
2017-01-31,Egypt,27.49,18.77,1.4645711241343,5.4328063241107,-71.055906637663,-48.517915298344,-47.547733863268,-37.201073922107,-35.705198765638,-44.952936838422
2017-07-31,Egypt,31.37,17.885,1.7539837852949,5.9188679245283,-66.90596631519,-42.173805172693,-43.041540024232,-32.81836229908,-21.451068634016,-36.05480231526
2018-01-31,Egypt,34.21,17.7,1.9327683615819,6.4791666666667,-63.394538606403,-34.67341683768,-41.709888500571,-33.028900997611,-14.839598994845,-35.12517006123
2018-07-31,Egypt,31.37,17.905,1.7520245741413,5.6932849364791,-68.2,-40.3,-43.2,-34.9,-22.4,-38.1
2019-01-31,Egypt,40.0,17.91,2.2333891680625,7.168458781362,-60.0,-22.6,-24.6,-11.8,-1.5,-19.5
2019-07-31,Egypt,42.0,16.615,2.5278362925068,7.3170731707317,-56.0,-20.6,-17.8,-6.1,5.8,-10.0
2020-01-31,Egypt,42.0,15.88,2.6448362720403,7.407407407407401,-53.354,-15.0,-12.6,-7.3,12.0,-7.199999999999999
2020-07-31,Egypt,42.0,15.95,2.63322884012539,7.355516637478104,-53.884,-12.2,-13.900000000000002,-1.5,12.3,-6.1
2021-01-31,Egypt,42.5,15.64,2.71739130434783,7.508833922261495,-52.0,-11.600000000000001,-21.5,-6.2,9.2,-13.8
2021-07-31,Egypt,42.5,15.67,2.71218889597958,7.522123893805313,-51.99700000000001,-14.871,-22.035,-15.732,12.584000000000001,-14.549000000000001
2022-01-31,Egypt,42.5,15.71,2.70528325907066,7.314974182444074,-53.437,-19.914,-22.627,-18.935,15.064,-23.549999999999997
