Date,Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2000-04-30,Lithuania,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,Lithuania,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,Lithuania,0.0,0.0,0.0,0.0,0.0,,,,,
2003-04-30,Lithuania,0.0,0.0,0.0,0.0,0.0,,,,,
2004-05-31,Lithuania,6.5,2.8731,2.2623646931885,2.2413793103448,-21.987424372809,,,,,
2005-06-30,Lithuania,6.5,2.8132,2.3105360443623,2.1241830065359,-24.492286131951,,,,,
2006-01-31,Lithuania,0.0,0.0,0.0,0.0,0.0,,,,,
2006-05-31,Lithuania,6.5,2.69445,2.4123661600698,2.0967741935484,-22.181736771943,,,,,
2007-01-31,Lithuania,6.5,2.69445,2.4123661600698,2.0186335403727,-25.081796271125,,,,,
2007-06-30,Lithuania,6.6,2.53355,2.6050403583904,1.9354838709677,-23.605854592657,,,,,
2008-06-30,Lithuania,6.9,2.177,3.1694993109784,1.9327731092437,-11.218506695283,,,,,
2009-07-31,Lithuania,7.1,2.4753,2.8683391912091,1.9887955182073,-19.654364391901,,,,,
2010-01-31,Lithuania,7.1,2.4753,2.8683391912091,1.9887955182073,-19.654364391901,,,,,
2010-07-31,Lithuania,7.3,2.6937,2.710027100271,1.9553571428571,-27.409988385598,,,,,
2011-07-31,Lithuania,7.3,2.4084,3.0310579637934,1.7958179581796,-25.435228442967,0.0,0.0,0.0,0.0,0.0
2012-01-31,Lithuania,7.8,2.7216,2.8659611992945,1.85837292303,-31.717632163801,0.0,0.0,0.0,0.0,0.0
2012-07-31,Lithuania,7.8,2.84805,2.738715963554,1.8024263431542,-36.713669241964,0.0,0.0,0.0,0.0,0.0
2013-01-31,Lithuania,7.8,2.5445,3.0654352525054,1.7859613137119,-29.810913196623,,,,,
2013-07-31,Lithuania,8.6,2.68545,3.2024427935728,1.8873445501097,-29.71961681991,,,,,
2014-01-31,Lithuania,8.8,2.5454,3.457216940363,1.9030455938007,-25.23589244124,,,,,
2014-07-31,Lithuania,8.95,2.56455,3.4898910140181,1.866527632951,-27.218122752491,,,,,
2015-07-31,Lithuania,2.59,0.91270022361155,2.8377335,0.54070981210856,-40.757129436326,,,,,
2018-01-31,Lithuania,2.8,0.81682662854809,3.4279,0.53030303030303,-35.077651515152,,,,,
