Date,Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2000-04-30,Uruguay,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,Uruguay,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,Uruguay,0.0,0.0,0.0,0.0,0.0,,,,,
2003-04-30,Uruguay,0.0,0.0,0.0,0.0,0.0,,,,,
2004-05-31,Uruguay,29.8,29.735,1.0021859761224,10.275862068966,-65.441862892331,,,,,
2005-06-30,Uruguay,44.0,24.125,1.8238341968912,14.37908496732,-40.397575264994,,,,,
2006-01-31,Uruguay,0.0,0.0,0.0,0.0,0.0,,,,,
2006-05-31,Uruguay,42.28,23.925,1.7671891327064,13.638709677419,-42.993898944956,,,,,
2007-01-31,Uruguay,55.0,23.925,2.2988505747126,17.080745341615,-28.607125008924,,,,,
2007-06-30,Uruguay,62.0,23.945,2.5892670703696,18.181818181818,-24.068414358663,,,,,
2008-06-30,Uruguay,61.0,19.15,3.1853785900783,17.086834733894,-10.773708961391,,,,,
2009-07-31,Uruguay,61.0,23.17,2.6327147173069,17.086834733894,-26.254489711292,,,,,
2010-01-31,Uruguay,77.0,23.17,3.3232628398792,21.56862745098,-6.9114050454018,,,,,
2010-07-31,Uruguay,79.0,21.1,3.7440758293839,21.160714285714,0.28774542992551,,,,,
2011-07-31,Uruguay,90.0,18.45,4.8780487804878,22.140221402214,20.001200012,0.0,0.0,0.0,0.0,0.0
2012-01-31,Uruguay,90.0,19.45,4.6272493573265,21.4427644965,10.245575817481,0.0,0.0,0.0,0.0,0.0
2012-07-31,Uruguay,99.0,21.87,4.5267489711934,22.876949740035,4.604251211864,0.0,0.0,0.0,0.0,0.0
2013-01-31,Uruguay,105.0,19.28,5.4460580912863,24.041786915353,24.698064913656,,,,,
2013-07-31,Uruguay,105.0,21.085,4.9798434906332,23.043160204828,9.2869822377429,,,,,
2014-01-31,Uruguay,105.0,21.38,4.911131898971,22.70679401694,6.2057718285313,,,,,
2014-07-31,Uruguay,113.0,22.97,4.9194601654332,23.566214807091,2.5956238880745,,,,,
2015-01-31,Uruguay,113.0,24.425,4.6264073694985,23.590814196242,-3.4152950000321,,,,,
2015-07-31,Uruguay,113.0,27.345,4.1323825196562,23.590814196242,-13.728966186717,,,,,
2016-01-31,Uruguay,113.0,30.185,3.7435812489647,22.920892494929,-24.065289067653,,,,,
2016-07-31,Uruguay,123.0,30.165,4.0775733465937,24.404761904762,-19.095766932664,,,,,
2017-01-31,Uruguay,125.0,28.725,4.3516100957354,24.703557312253,-13.999800479537,,,,,
2017-07-31,Uruguay,130.0,28.705,4.5288277303606,24.528301886792,-14.550420181876,,,,,
2018-01-31,Uruguay,140.0,28.58,4.8985304408677,26.515151515152,-7.2248022562928,,,,,
2018-07-31,Uruguay,140.0,31.31,4.4714148834238,25.40834845735,-18.8,,,,,
2019-01-31,Uruguay,140.0,32.51,4.3063672716087,25.089605734767,-22.8,,,,,
2019-07-31,Uruguay,164.0,35.1695,4.6631314064744,28.571428571429,-18.8,,,,,
2020-01-31,Uruguay,179.0,37.435,4.78162147722719,31.569664902998213,-15.668000000000001,,,,,
2020-07-31,Uruguay,189.0,43.675,4.32741843159702,33.09982486865146,-24.213,,,,,
2021-01-31,Uruguay,204.0,42.495,4.80056477232616,36.042402826855145,-15.2,32.7,17.8,40.8,64.0,29.5
2021-07-31,Uruguay,225.0,44.0,5.11363636363636,39.82300884955749,-9.493,38.653999999999996,26.985999999999997,37.252,83.371,39.178000000000004
2022-01-31,Uruguay,239.0,44.0355,5.4274392251706,41.13597246127366,-6.585000000000001,39.755,35.02,41.463,100.793,33.410000000000004
