Date,Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation,dollar_adj_valuation,euro_adj_valuation,sterling_adj_valuation,yen_adj_valuation,yuan_adj_valuation
2000-04-30,Venezuela,0.0,0.0,0.0,0.0,0.0,,,,,
2001-04-30,Venezuela,0.0,0.0,0.0,0.0,0.0,,,,,
2002-04-30,Venezuela,2500.0,857.0,2.92,1004.016064257,17.154733285534,,,,,
2003-04-30,Venezuela,3700.0,1598.0,2.32,1365.3136531365,-14.561098051531,,,,,
2004-05-31,Venezuela,4400.0,2977.0,1.48,1517.2413793103,-49.034552256959,,,,,
2005-06-30,Venezuela,5600.0,2629.62,2.12958526327,1830.0653594771,-30.405710350654,,,,,
2006-01-31,Venezuela,5900.0,2615.92,2.2554206550659,1873.0158730159,-28.399344283622,,,,,
2006-05-31,Venezuela,5701.25,2519.58,2.2627779233047,1839.1129032258,-27.007163764365,,,,,
2007-01-31,Venezuela,6800.0,4125.278,1.6483737580837,2111.801242236,-48.808268382494,,,,,
2007-06-30,Venezuela,7400.0,2147.3,3.4461882363899,2170.0879765396,1.0612386038089,,,,,
2008-06-30,Venezuela,0.0,0.0,0.0,0.0,0.0,,,,,
2009-07-31,Venezuela,0.0,0.0,0.0,0.0,0.0,,,,,
2010-01-31,Venezuela,0.0,0.0,0.0,0.0,0.0,,,,,
2010-07-31,Venezuela,0.0,0.0,0.0,0.0,0.0,,,,,
2011-07-31,Venezuela,28.0,4.29465,6.5197396761086,6.8880688806888,60.387199904272,0.0,0.0,0.0,0.0,0.0
2012-01-31,Venezuela,30.0,4.29465,6.9854353672593,7.1475881655,66.430050539625,0.0,0.0,0.0,0.0,0.0
2012-07-31,Venezuela,34.0,4.29465,7.9168267495605,7.8567302137493,82.942270353796,0.0,0.0,0.0,0.0,0.0
2013-01-31,Venezuela,39.0,4.29465,9.081065977437,8.9298065685596,107.92862208934,,,,,
2013-07-31,Venezuela,45.0,6.2921,7.1518253047472,9.8756400877835,56.953005956413,,,,,
2014-01-31,Venezuela,45.0,6.2921,7.1518253047472,9.7314831501171,54.661927657176,,,,,
2014-07-31,Venezuela,75.0,11.0,6.8181818181818,15.641293013556,42.193572850507,,,,,
2015-01-31,Venezuela,132.0,52.1021,2.5334871339159,27.557411273486,-47.108828101964,,,,,
2015-07-31,Venezuela,132.0,197.0,0.67005076142132,27.557411273486,-86.011466358636,,,,,
2016-01-31,Venezuela,132.0,198.6986,0.66432274812203,26.774847870183,-86.52489354722,,,,,
2016-07-31,Venezuela,2170.0,641.4001,3.3832236695941,430.55555555556,-32.872546238213,,,,,
2017-01-31,Venezuela,3550.0,676.6047,5.2467859002457,701.58102766798,3.6914209534732,,,,,
2017-07-31,Venezuela,10950.0,2700.0,4.0555555555556,2066.0377358491,-23.480083857442,,,,,
2021-07-31,Venezuela,30164100.0,3613989.071,8.34648345841663,5338778.761061944,47.725,,,,,
2022-01-31,Venezuela,23.0,4.5435,5.06217673599648,3.9586919104991405,-12.870999999999999,,,,,
